Replicate Name,File Name,Sample Type,Isotope Label Type,Fragment Ion Type,Transition Note,Analyte Concentration,Molecule List Name,Molecule Name,Precursor Mz,Product Mz,Points Across Peak,Background,Area,Fwhm
15_std1000,mtab_Zoop2_BC_lumos_071423_023.raw,Standard,light,precursor,,1000,molecules,2′deoxyguanosine,370.1157,370.1157,21,3179,14135938,0.04
16_std3000,mtab_Zoop2_BC_lumos_071423_024.raw,Standard,light,precursor,,3000,molecules,2′deoxyguanosine,370.1157,370.1157,20,0,35904336,0.04
17_std7000,mtab_Zoop2_BC_lumos_071423_025.raw,Standard,light,precursor,,7000,molecules,2′deoxyguanosine,370.1157,370.1157,19,0,71852256,0.04
pool1,mtab_Zoop2_BC_lumos_071423_027.raw,Quality Control,light,precursor,,,molecules,2′deoxyguanosine,370.1157,370.1157,20,0,3032,0.01
pool2,mtab_Zoop2_BC_lumos_071423_039.raw,Quality Control,light,precursor,,,molecules,2′deoxyguanosine,370.1157,370.1157,21,0,0,0.14
pool3,mtab_Zoop2_BC_lumos_071423_051.raw,Quality Control,light,precursor,,,molecules,2′deoxyguanosine,370.1157,370.1157,21,0,422,0.01
18_t0_ctrl_6,mtab_Zoop2_BC_lumos_071423_033.raw,Unknown,light,precursor,,,molecules,2′deoxyguanosine,370.1157,370.1157,24,0,389,0.01
19_t0_ctrl_16,mtab_Zoop2_BC_lumos_071423_050.raw,Unknown,light,precursor,,,molecules,2′deoxyguanosine,370.1157,370.1157,22,0,775,0.01
20_t0_ctrl_4,mtab_Zoop2_BC_lumos_071423_032.raw,Unknown,light,precursor,,,molecules,2′deoxyguanosine,370.1157,370.1157,24,0,487,0.01
21_t6_ctrl_53,mtab_Zoop2_BC_lumos_071423_049.raw,Unknown,light,precursor,,,molecules,2′deoxyguanosine,370.1157,370.1157,22,0,0,0.14
22_t6_ctrl_26,mtab_Zoop2_BC_lumos_071423_030.raw,Unknown,light,precursor,,,molecules,2′deoxyguanosine,370.1157,370.1157,24,0,0,0.14
23_t6_ctrl_22,mtab_Zoop2_BC_lumos_071423_042.raw,Unknown,light,precursor,,,molecules,2′deoxyguanosine,370.1157,370.1157,22,0,0,0.14
